id,geo_point_2d,code_com,xlong,ylat,capacite,capacite_cargo,mobilier,protection,couverture,acces,surveillance,lumiere,url_info,d_service,source,proprietaire,gestionnaire,date_maj,commentaires,nom_local,commune_local,adresse_local,type,code,epci,lon,lat
67,"45.433911,6.007822",38314.0,6.007822,45.433911,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2020-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,GARE,PONTCHARRA,,stationnementcyclable,58,LeGresivaudan,6.00782,45.43391
68,"45.18541287831288,5.753981045043099",38421.0,5.753981045043099,45.18541287831288,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2019-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,ALFRED KASTLER,SAINT-MARTIN-D'HERES,14 rue Alfred Kastler,stationnementcyclable,59,LaMetro,5.75398,45.18541
69,"45.171872,5.757608",38421.0,5.757608,45.171872,6,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,ETIENNE GRAPPE,SAINT-MARTIN-D'HERES,40 avenue de Potié,stationnementcyclable,60,LaMetro,5.75761,45.17187
70,"45.186411,5.757254",38421.0,5.757254,45.186411,6,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,NEYRPIC BELLEDONNE,SAINT-MARTIN-D'HERES,52 avenue Gabriel Péri,stationnementcyclable,61,LaMetro,5.75725,45.18641
71,"45.213582,5.661105",38474.0,5.661105,45.213582,100,0,RACK DOUBLE ETAGE,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,True,True,https://www.veloplus-m.fr/,2015-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,mobilier,JEAN PREVOST,SASSENAGE,Place Jean Prévost,stationnementcyclable,62,LaMetro,5.66111,45.21358
72,"45.179681,5.695789",38485.0,5.695789,45.179681,10,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,SEYSSINET P+R,Seyssinet-Pariset,11 rue Lamartine,stationnementcyclable,63,LaMetro,5.69579,45.17968
73,"45.256417,5.847328",38431.0,5.847328,45.256417,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2020-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,ROUTE DE CHAMBERY,SAINT-NAZAIRE-LES-EY,Route de Chambéry,stationnementcyclable,64,LeGresivaudan,5.84733,45.25642
74,"45.180069,5.695703",38485.0,5.695703,45.180069,10,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,HOTEL DE VILLE,SEYSSINET-PARISET,Boulevard de l'Europe,stationnementcyclable,65,LaMetro,5.6957,45.18007
75,"45.175763,5.687702",38485.0,5.687702,45.175763,10,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,PIERRE DE COUBERTIN,SEYSSINET-PARISET,Avenue Pierre de Coubertin,stationnementcyclable,66,LaMetro,5.6877,45.17576
76,"45.1800277777777,5.6955",38485.0,5.6955,45.1800277777777,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2020-07-15,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,VEIL,SEYSSINET-PARISET,Rue Simone Veil,stationnementcyclable,67,LaMetro,5.6955,45.18003
